web_scraper_order,web_scraper_start_url,category,category_href,category_name,category_description,category_emoji_item,category_emoji_item_href,emoji,emoji_name,emoji_description
"1573511960-1332","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🦀 Crab","https://emojipedia.org/crab/","🦀","Crab","A crab, a squat crustacean with pincers. Depicted as a reddish-orange crab (as cooked) shown from above, with a round, shelled body, shorted, tentacle-like eyes, and ten legs, the top two of which are large pincers.
May be used to represent crab as food or metaphorical senses of crab (e.g., crabby). Often used to represent ♋ Cancer, the Crab, in the Western zodiac.
Not to be confused with 🦞 Lobster.
Facebook’s pincers have black tips.

Crab was approved as part of Unicode 8.0 in 2015
and added to Emoji 1.0 in 2015."
"1573517378-1751","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","💀 Skull","https://emojipedia.org/skull/","💀","Skull","A whitish-gray, cartoon-styled human skull with large, black eye sockets. Commonly expresses figurative death, e.g., dying from extreme laughter, frustration, or affection.
Popular around Halloween. Not to be confused with ☠️ Skull and Crossbones, though their applications may overlap.
Available as an Apple Animoji.

Skull was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573515372-1583","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👼 Baby Angel","https://emojipedia.org/baby-angel/","👼","Baby Angel","An angelic baby with wings, and a halo above its head. Commonly known as a cherub.

Baby Angel was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573487436-392","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇱🇮 Flag: Liechtenstein","https://emojipedia.org/flag-for-liechtenstein/","🇱🇮","🇮 Flag: Liechtenstein","The flag for Liechtenstein, which may show as the letters LI on some platforms.
The Flag: Liechtenstein emoji is a sequence of the 🇱 Regional Indicator Symbol Letter L and 🇮 Regional Indicator Symbol Letter I emojis.
These display as a single emoji on supported platforms.

Flag: Liechtenstein was added to Emoji 1.0 in 2015."
"1573517428-1768","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","😰 Anxious Face With Sweat","https://emojipedia.org/face-with-open-mouth-and-cold-sweat/","😰","Anxious Face With Sweat","A face with open eyes and a small, open frown. Its eyebrows are furrowed, with a single bead of cold sweat dripping down, and its forehead is pale blue, as if experiencing a cold flash. Samsung's design shows upper teeth and tongue.
Meaning widely varies, but commonly conveys such feelings as sadness, disappointment, fear, and anxiety. Similar to 😥 Sad but Relieved Face, but with a blue head and larger frown.
Not to be confused with 😢 Crying Face, 😪 Sleepy Face, or other emojis with tear or sweat droplets. Microsoft and Samsung previously featured smileys that appeared more excited in expression.

Anxious Face With Sweat was approved as part of Unicode 6.0 in 2010
under the name “Face With Open Mouth and Cold Sweat”
and added to Emoji 1.0 in 2015."
"1573516270-1615","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👩‍🎤 Woman Singer","https://emojipedia.org/female-singer/","👩‍🎤","‍🎤 Woman Singer","A woman singer or rock star generally displayed with a microphone, and sometimes musical notes.
iOS and Android display this emoji as a Bowie-esque figure while WhatsApp appears heavily inspired by Prince.
The Woman Singer emoji is a sequence of the 👩 Woman and 🎤 Microphone emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Woman Singer was added to Emoji 4.0 in 2016."
"1573488797-451","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇫🇮 Flag: Finland","https://emojipedia.org/flag-for-finland/","🇫🇮","🇮 Flag: Finland","The flag for Finland, which may show as the letters FI on some platforms.

🇫🇮 Finnish Flag Emoji

The Flag: Finland emoji is a sequence of the 🇫 Regional Indicator Symbol Letter F and 🇮 Regional Indicator Symbol Letter I emojis.
These display as a single emoji on supported platforms.

Flag: Finland was added to Emoji 1.0 in 2015."
"1573513331-1509","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👩‍👩‍👧‍👧 Family: Woman, Woman, Girl, Girl","https://emojipedia.org/family-woman-woman-girl-girl/","👩‍👩‍👧‍👧","‍👩‍👧‍👧 Family: Woman, Woman, Girl, Girl","A family with two mothers, and two daughters.
The Family: Woman, Woman, Girl, Girl emoji is a sequence of the 👩 Woman, 👩 Woman, 👧 Girl and 👧 Girl emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Family: Woman, Woman, Girl, Girl was added to Emoji 2.0 in 2015."
"1573498153-777","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","💊 Pill","https://emojipedia.org/pill/","💊","Pill","A capsule of medicine. Generally depicted at a 45° angle, half red, half yellow. Commonly used for content concerning health, medicine, and related professions as well various types of drugs.
Samsung’s design previously featured a blue-and-white capsule with two round pills, one orange, the other white. Google and Microsoft’s designs previously featured blue in their capsules.

Pill was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573504226-1054","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🏢 Office Building","https://emojipedia.org/office-building/","🏢","Office Building","A generic, high-rise office building. Generally found in cities, and most active during business hours.
The office building shown in Twemoji 2.0 is of Twitter HQ in San Fransisco.

Office Building was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573513611-1519","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👨‍👩‍👧‍👧 Family: Man, Woman, Girl, Girl","https://emojipedia.org/family-man-woman-girl-girl/","👨‍👩‍👧‍👧","‍👩‍👧‍👧 Family: Man, Woman, Girl, Girl","A family with a father, mother, and two daughters.
The Family: Man, Woman, Girl, Girl emoji is a sequence of the 👨 Man, 👩 Woman, 👧 Girl and 👧 Girl emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Family: Man, Woman, Girl, Girl was added to Emoji 2.0 in 2015."
"1573499019-868","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","📚 Books","https://emojipedia.org/books/","📚","Books","A loose stack of three of more different-colored, hardcover books. Commonly used for various content concerning reading and schooling. Color and orientation vary across platforms, but often shown with red, green, and blue covers.
Samsung’s design features the easter egg initials MJ printed on the pages of its bottom book.

Books was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573487360-389","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇱🇸 Flag: Lesotho","https://emojipedia.org/flag-for-lesotho/","🇱🇸","🇸 Flag: Lesotho","The flag for Lesotho, which may show as the letters LS on some platforms.
The Flag: Lesotho emoji is a sequence of the 🇱 Regional Indicator Symbol Letter L and 🇸 Regional Indicator Symbol Letter S emojis.
These display as a single emoji on supported platforms.

Flag: Lesotho was added to Emoji 1.0 in 2015."
"1573517444-1775","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","😯 Hushed Face","https://emojipedia.org/hushed-face/","😯","Hushed Face","A yellow face with small, open eyes, raised eyebrows, and a small, open mouth, as if it has been hushed by concern or correction. Meaning widely varies, but its expression is commonly taken as surprise, embarrassment, or mild excitement.
Similar to 😲 Astonished Face, which features larger eyes and mouth. Google previously interpreted hushed as ""silenced,"" depicting the emoji with a zipper mouth until Android 6.0.1.

Hushed Face was approved as part of Unicode 6.1 in 2012
and added to Emoji 1.0 in 2015."
"1573516096-1609","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👩‍🚀 Woman Astronaut","https://emojipedia.org/female-astronaut/","👩‍🚀","‍🚀 Woman Astronaut","A female astronaut or cosmonaut shown wearing a space suit and helmet.
The Woman Astronaut emoji is a sequence of the 👩 Woman and 🚀 Rocket emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Woman Astronaut was added to Emoji 4.0 in 2016."
"1573502118-978","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🛳 Passenger Ship","https://emojipedia.org/passenger-ship/","🛳️","️ Passenger Ship","Passenger Ship was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015."
"1573516979-1666","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👵 Old Woman","https://emojipedia.org/older-woman/","👵","Old Woman","An elderly woman with gray (grey) hair, and visible wrinkles. Wears glasses on some platforms.

Old Woman was approved as part of Unicode 6.0 in 2010
under the name “Older Woman”
and added to Emoji 1.0 in 2015."
"1573507766-1181","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🥃 Tumbler Glass","https://emojipedia.org/tumbler-glass/","🥃","Tumbler Glass","A short, flat glass, as used for brown liquors like whiskey or Scotch whisky. Apple and WhatsApp serve theirs neat, while other platforms include ice (""on the rocks""). Samsung's glass features the faint initials ONI, an apparent in-company easter egg.  

Tumbler Glass was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
"1573511317-1309","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","⭐ Star","https://emojipedia.org/white-medium-star/","⭐","Star","A classic, five-point gold star.
Commonly used for various metaphorical senses of star (e.g., for fame, success, excellence, reviews). Also used for emphasis or flair. Occasionally used for astronomical stars.
Not to be confused with 💫 Dizzy, 🌟 Glowing Star, 🌠 Shooting Star, or ✨ Sparkles, though their applications may overlap.
Samsung and Facebook’s stars were once silver.
See the glossary for the term white in Unicode character names.

Star was approved as part of Unicode 5.1 in 2008
under the name “White Medium Star”
and added to Emoji 1.0 in 2015."
"1573488718-415","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇮🇳 Flag: India","https://emojipedia.org/flag-for-india/","🇮🇳","🇳 Flag: India","The flag for India, which may show as the letters IN on some platforms.
The Flag: India emoji is a sequence of the 🇮 Regional Indicator Symbol Letter I and 🇳 Regional Indicator Symbol Letter N emojis.
These display as a single emoji on supported platforms.

Flag: India was added to Emoji 1.0 in 2015."
"1573503394-1024","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🌉 Bridge at Night","https://emojipedia.org/bridge-at-night/","🌉","Bridge at Night","A lit-up bridge, shown at night.

Bridge at Night was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573511345-1310","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🌞 Sun With Face","https://emojipedia.org/sun-with-face/","🌞","Sun With Face","A sun with a smiling face, as a Sun of May. Generally depicted as a golden-yellow disc with a smiling, often human face with a nose, radiating triangular rays, representing the sun's heat and light.
May be used to represent the sun more generally. Also used to represent sunny, warm, or hot weather and various positive and happy (sunny) feelings.
See also ☀️ Sun. Not to be confused with 🔆 Bright Button or 🔅 Dim Button.
Apple, WhatsApp, and Facebook's suns feature human faces. Other platforms, including Twitter, feature a simple smiley, as 🙂 Slightly Smiling Face.
Microsoft's eyes previously appeared closed, Facebook's expression resembled 😁 Beaming Face With Smiling Eyes.

Sun With Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573504725-1072","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🚣 Person Rowing Boat","https://emojipedia.org/rowboat/","🚣","Person Rowing Boat","A small rowboat suitable for a small number of people. Couples or families sometimes hire these as an activity on calm waters.

Person Rowing Boat was approved as part of Unicode 6.0 in 2010
under the name “Rowboat”
and added to Emoji 1.0 in 2015."
"1573506045-1119","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","Activity","Emojis for sports, music, the arts, hobbies and other activities.","🥇 1st Place Medal","https://emojipedia.org/first-place-medal/","🥇","1st Place Medal","1st Place Medal was approved as part of Unicode 9.0 in 2016
under the name “First Place Medal”
and added to Emoji 3.0 in 2016."
"1573515042-1571","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🧚 Fairy","https://emojipedia.org/fairy/","🧚","Fairy","Fairy was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017."
"1573495275-650","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","🔜 Soon Arrow","https://emojipedia.org/soon-with-rightwards-arrow-above/","🔜","Soon Arrow","The word ""soon"" with an arrow above it, pointing to the right.

Soon Arrow was approved as part of Unicode 6.0 in 2010
under the name “Soon With Rightwards Arrow Above”
and added to Emoji 1.0 in 2015."
"1573494972-638","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","🕎 Menorah","https://emojipedia.org/menorah-with-nine-branches/","🕎","Menorah","A menorah showing nine lit candles, used on the Jewish holiday of Hanukkah.

Menorah was approved as part of Unicode 8.0 in 2015
under the name “Menorah With Nine Branches”
and added to Emoji 1.0 in 2015."
"1573501083-942","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🛎 Bellhop Bell","https://emojipedia.org/bellhop-bell/","🛎️","️ Bellhop Bell","Ding! A call bell, as pressed at a front desk or reception to alert staff for service, such as from a concierge or bellhop (porter) to carry luggage at a hotel. Generally depicted as a golden bell on a wooden stand.
Commonly represents alerts or notifications to bring attention to important content. May also be used of various content concerning the hospitality and service industries.
Microsoft’s design features a silver bell radiating yellow rays, as if ringing.

Bellhop Bell was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015."
"1573496018-676","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","🚫 Prohibited","https://emojipedia.org/no-entry-sign/","🚫","Prohibited","Called a “No Entry” sign Emoji, but does not look like the no entry road sign that one might expect.
The artwork for this Emoji looks more like a restriction sign, as in No Smoking, No Bikes, or similar.

Prohibited was approved as part of Unicode 6.0 in 2010
under the name “No Entry Sign”
and added to Emoji 1.0 in 2015."
"1573517638-1826","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","😘 Face Blowing a Kiss","https://emojipedia.org/face-throwing-a-kiss/","😘","Face Blowing a Kiss","A yellow face winking with puckered lips blowing a kiss, depicted as a small, red heart. May represent a kiss goodbye or good night and convey feelings of love and affection more generally. 
Many platforms feature the same eyes as on their 😉 Winking Face.
Microsoft’s design previously featured a feminine smiley with long eyelashes and red lipstick, which could leave a kiss mark.

Face Blowing a Kiss was approved as part of Unicode 6.0 in 2010
under the name “Face Throwing a Kiss”
and added to Emoji 1.0 in 2015."
"1573515566-1590","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👳‍♀️ Woman Wearing Turban","https://emojipedia.org/woman-wearing-turban/","👳‍♀️","‍♀️ Woman Wearing Turban","The female version of the 👳 Man Wearing Turban emoji.
The Woman Wearing Turban emoji is a sequence of the 👳 Man With Turban and ♀ Female Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Woman Wearing Turban was added to Emoji 4.0 in 2016."
"1573498683-835","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🖋 Fountain Pen","https://emojipedia.org/lower-left-fountain-pen/","🖋️","️ Fountain Pen","A black fountain pen with a silver nib, as used for signing important documents. Often depicted with gold hardware. Positioned at a 45° angle with its tip at the lower left. Like ✒️ Black Nib, commonly used for various content concerning writing, drawing, and signing (e.g., laws, deals, in sports).
Apple and Twitter feature the same designs as their ✒️ Black Nib, but with their tips angled to the lower left.

Fountain Pen was approved as part of Unicode 7.0 in 2014
under the name “Lower Left Fountain Pen”
and added to Emoji 1.0 in 2015."
"1573497650-744","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","💜 Purple Heart","https://emojipedia.org/purple-heart/","💜","Purple Heart","A purple heart emoji. Shown as pink in Android 4.4.

Purple Heart was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573509364-1239","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🍟 French Fries","https://emojipedia.org/french-fries/","🍟","French Fries","Thin-cut, golden-brown French fries, served in a red carton, as at McDonald’s. Apple features Smiling Face With Smiling Eyes on its carton.

French Fries was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573517002-1675","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👩 Woman","https://emojipedia.org/woman/","👩","Woman","A woman of adult age. Differentiated from the girl emoji by the lack of pig-tails in her hair.

Woman was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573512605-1418","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🦙 Llama","https://emojipedia.org/llama/","🦙","Llama","A llama, a long-necked, camel-like animal, native to South America and used for transport and wool. Depicted as a shaggy white, light-brown, or multicolored llama in full profile on all fours facing left.
May be used to represent an alpaca or related animals.

Llama was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018."
