web_scraper_order,web_scraper_start_url,category,category_href,category_emoji_character,category_name,category_description,category_emoji_item,category_emoji_item_href,emoji_character,emoji_name,emoji_description,emoji_name_aliases,emoji_apple_name,emoji_unicode_name,emoji_codepoints,emoji_shortcodes,emoji_references
"1573610292-806","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣","Symbols","Heart emojis, clocks, arrows, signs and shapes.","🅿 P Button","https://emojipedia.org/negative-squared-latin-capital-letter-p/","🅿️","P Button","P Button was approved as part of Unicode 5.2 in 2009
under the name “Negative Squared Latin Capital Letter P”
and added to Emoji 1.0 in 2015.","null","Parking Sign","Negative Squared Latin Capital Letter P","U+1F17F",":parking:","ℹ Information
🔠 Input Latin Uppercase
🆎 AB Button (Blood Type)
🅰 A Button (Blood Type)
🅱 B Button (Blood Type)
🅾 O Button (Blood Type)
🆗 OK Button
󠁆 Tag Latin Capital Letter F"
"1573612177-1652","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻","Animals & Nature","Emojis for animals, nature, and weather.","🦢 Swan","https://emojipedia.org/swan/","🦢","Swan","A swan, a waterbird with white feathers and a long neck. Depicted in full profile facing left, with a curving neck, orange bill, black eye marking, and wings and legs tucked in, as if gliding in water.
May be used to represent a goose or, metaphorically, love, grace, and beauty.

Swan was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.","null","Swan","null","U+1F9A2","null","🦢 on Instagram
🦢 on Twitter
🦢 on Wikipedia
🦢 on Yelp
🦢 on YouTube
🦢 on Google Trends
🦢 on Nomad List"
"1573609747-573","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇵🇱 Flag: Poland","https://emojipedia.org/flag-for-poland/","🇵🇱","Flag: Poland","The flag for Poland, which may show as the letters PL on some platforms.
The Flag: Poland emoji is a sequence of the 🇵 Regional Indicator Symbol Letter P and 🇱 Regional Indicator Symbol Letter L emojis.
These display as a single emoji on supported platforms.

Flag: Poland was added to Emoji 1.0 in 2015.","🇵🇱 Polish Flag","Flag of Poland","null","U+1F1F5","null","🇵🇱 on Instagram
🇵🇱 on Twitter
🇵🇱 on Wikipedia
🇵🇱 on Yelp
🇵🇱 on YouTube
🇵🇱 on Google Trends
🇵🇱 on Nomad List"
"1573610071-705","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇨🇷 Flag: Costa Rica","https://emojipedia.org/flag-for-costa-rica/","🇨🇷","Flag: Costa Rica","The flag for Costa Rica, which may show as the letters CR on some platforms.
The Flag: Costa Rica emoji is a sequence of the 🇨 Regional Indicator Symbol Letter C and 🇷 Regional Indicator Symbol Letter R emojis.
These display as a single emoji on supported platforms.

Flag: Costa Rica was added to Emoji 1.0 in 2015.","🇨🇷 Costa Rican Flag","Flag of Costa Rica","null","U+1F1E8","null","🇨🇷 on Instagram
🇨🇷 on Twitter
🇨🇷 on Wikipedia
🇨🇷 on Yelp
🇨🇷 on YouTube
🇨🇷 on Google Trends
🇨🇷 on Nomad List"
"1573609756-577","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇵🇫 Flag: French Polynesia","https://emojipedia.org/flag-for-french-polynesia/","🇵🇫","Flag: French Polynesia","The flag for French Polynesia, which may show as the letters PF on some platforms.
The Flag: French Polynesia emoji is a sequence of the 🇵 Regional Indicator Symbol Letter P and 🇫 Regional Indicator Symbol Letter F emojis.
These display as a single emoji on supported platforms.

Flag: French Polynesia was added to Emoji 1.0 in 2015.","🇵🇫 French Polynesian Flag","Flag of French Polynesia","null","U+1F1F5","null","🇵🇫 on Instagram
🇵🇫 on Twitter
🇵🇫 on Wikipedia
🇵🇫 on Yelp
🇵🇫 on YouTube
🇵🇫 on Google Trends
🇵🇫 on Nomad List"
"1573610954-1098","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🖊 Pen","https://emojipedia.org/lower-left-ballpoint-pen/","🖊️","Pen","A blue or black ballpoint pen, as used for everyday writing. Depicted with its cap removed onto its end or as retractable pen. Positioned at a 45° angle, its tip at the lower left. Commonly used for various content concerning writing (e.g., creative, professional) as well as signing (deals, laws, in sports).
Google's design previously featured a brown-colored pen. Not to be confused with ✒️ Black Nib or 🖋️ Fountain Pen, though their applications often overlap.

Pen was approved as part of Unicode 7.0 in 2014
 under the name “Lower Left Ballpoint Pen”
and added to Emoji 1.0 in 2015.","null","Ballpoint Pen","Lower Left Ballpoint Pen","U+1F58A","null","🖊️ on Instagram
🖊️ on Twitter
🖊️ on Wikipedia
🖊️ on Yelp
🖊️ on YouTube
🖊️ on Google Trends
🖊️ on Nomad List"
"1573611364-1291","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","🌇","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🌅 Sunrise","https://emojipedia.org/sunrise/","🌅","Sunrise","A sun rising, early in the morning. Can be difficult to distinguish from a sunset in some versions of this artwork.

Sunrise was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","🌅 Sunset","Sunrise","null","U+1F305",":sunrise:","🛏 Bed
☀ Sun
🌆 Cityscape at Dusk
🤠 Cowboy Hat Face
🖼 Framed Picture
🗻 Mount Fuji
⛰ Mountain
🚵 Person Mountain Biking
🚠 Mountain Cableway
🚞 Mountain Railway
🙌 Raising Hands
🛌 Person in Bed
🏔 Snow-Capped Mountain
🌞 Sun With Face
🌄 Sunrise Over Mountains
🌇 Sunset
🍹 Tropical Drink
🌥 Sun Behind Large Cloud"
"1573611550-1376","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","⚽","Activity","Emojis for sports, music, the arts, hobbies and other activities.","🏈 American Football","https://emojipedia.org/american-football/","🏈","American Football","The oval ball used in the game of American football, known as gridiron in some countries.

American Football was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","🏈 Football
🏈 Gridiron
🏈 Superbowl","American Football","null","U+1F3C8",":football:","⚾ Baseball
🍺 Beer Mug
🍻 Clinking Beer Mugs
📋 Clipboard
🇺🇸 Flag: United States
🐐 Goat
🏉 Rugby Football
⚽ Soccer Ball
🥎 Softball
🎫 Ticket"
"1573612224-1674","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻","Animals & Nature","Emojis for animals, nature, and weather.","🐰 Rabbit Face","https://emojipedia.org/rabbit-face/","🐰","Rabbit Face","A friendly, cartoon-styled face of a rabbit, looking straight ahead. Generally depicted as a gray and/or white rabbit face with upright ears and pink ears and nose, often with whiskers and a buck tooth.
Often used with a more affectionate tone than the full-bodied 🐇 rabbit. Also often used to represent the Easter Bunny.
Available as an Apple Animoji.
Microsoft’s rabbit face was previously pink-colored with one ear flopping down. Facebook’s rabbit face was previously gray-colored with both ears flopping down.

Rabbit Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","🐰 Easter Bunny","Rabbit Face","null","U+1F430",":rabbit:","🐤 Baby Chick
🦡 Badger
🐻 Bear
🥕 Carrot
🥚 Egg
🦊 Fox
🐥 Front-Facing Baby Chick
🐹 Hamster
🐣 Hatching Chick
🦔 Hedgehog
🕳 Hole
🐨 Koala
Magic Wand
🐁 Mouse
🐭 Mouse Face
🦦 Otter
🐷 Pig Face
🐇 Rabbit
🐀 Rat
🦨 Skunk
🎩 Top Hat
👯 People With Bunny Ears"
"1573611246-1236","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","🌇","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🛫 Airplane Departure","https://emojipedia.org/airplane-departure/","🛫","Airplane Departure","A plane taking off from a runway. Generally displayed left-right, with the front of the plane elevated.

Airplane Departure was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015.","🛫 Aeroplane Taking Off
🛫 Plane Taking Off","Airplane Taking Off","null","U+1F6EB","null","🛫 on Instagram
🛫 on Twitter
🛫 on Wikipedia
🛫 on Yelp
🛫 on YouTube
🛫 on Google Trends
🛫 on Nomad List"
"1573610645-953","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣","Symbols","Heart emojis, clocks, arrows, signs and shapes.","🎵 Musical Note","https://emojipedia.org/musical-note/","🎵","Musical Note","A music note emoji, which can denote song lyrics, or other music related topics.
Displays as two eighth-notes (quavers in British English) connected with a beam in the Apple artwork. A single eight-note (quaver) is used in Microsoft and Google’s emoji font.

Musical Note was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","🎵 Beamed Pair Of Eighth Notes
🎵 Beamed Pair Of Quavers
🎵 Music Note","Musical Note","null","U+1F3B5",":musical_note:","🎪 Circus Tent
🎛 Control Knobs
🎸 Guitar
😗 Kissing Face
😙 Kissing Face With Smiling Eyes
🎚 Level Slider
👨‍🎤 Man Singer
🎤 Microphone
🎶 Musical Notes
🎹 Musical Keyboard
🎼 Musical Score
📻 Radio
🎷 Saxophone
🎙 Studio Microphone
🎺 Trumpet
👩‍🎤 Woman Singer"
"1573609956-669","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇬🇱 Flag: Greenland","https://emojipedia.org/flag-for-greenland/","🇬🇱","Flag: Greenland","The flag for Greenland, which may show as the letters GL on some platforms.
The Flag: Greenland emoji is a sequence of the 🇬 Regional Indicator Symbol Letter G and 🇱 Regional Indicator Symbol Letter L emojis.
These display as a single emoji on supported platforms.

Flag: Greenland was added to Emoji 1.0 in 2015.","🇬🇱 Greenlandic Flag","Flag of Greenland","null","U+1F1EC","null","🇬🇱 on Instagram
🇬🇱 on Twitter
🇬🇱 on Wikipedia
🇬🇱 on Yelp
🇬🇱 on YouTube
🇬🇱 on Google Trends
🇬🇱 on Nomad List"
"1573610942-1092","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🗂 Card Index Dividers","https://emojipedia.org/card-index-dividers/","🗂️","Card Index Dividers","A set of tabbed dividers or file guides, as used to organize a card index or file box. Depicted with three or more multicolored tabs on manila paper.
Commonly used for various content concerning paper or computer files, organization, and various types of data, information, and professional or academic work.
WhatsApp’s design features tabbed index cards. Samsung’s design previously suggested a blue, multi-tabbed file folder.

Card Index Dividers was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015.","null","Card Index Dividers","null","U+1F5C2","null","🗂️ on Instagram
🗂️ on Twitter
🗂️ on Wikipedia
🗂️ on Yelp
🗂️ on YouTube
🗂️ on Google Trends
🗂️ on Nomad List"
"1573611737-1460","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","🍔","Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🍮 Custard","https://emojipedia.org/custard/","🍮","Custard","A golden-yellow custard dessert, as a crème caramel or flan, topped with a layer of caramel. Shown on a plate, molded in a ramekin-shape and often in a pool of caramel sauce.

Custard was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","🍮 Creme Caramel
🍮 Dessert
🍮 Flan
🍮 Pudding","Custard","null","U+1F36E",":custard:","🎂 Birthday Cake
🥣 Bowl With Spoon
🍬 Candy
🧀 Cheese Wedge
🍫 Chocolate Bar
🍪 Cookie
🥐 Croissant
🧁 Cupcake
🍡 Dango
🍩 Doughnut
🥚 Egg
🇫🇷 Flag: France
🥠 Fortune Cookie
🍯 Honey Pot
☕ Hot Beverage
🍨 Ice Cream
🍭 Lollipop
🥮 Moon Cake
🥞 Pancakes
🥧 Pie
🍧 Shaved Ice
🍰 Shortcake
🍦 Soft Ice Cream
🥄 Spoon"
"1573611342-1281","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","🌇","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🚅 Bullet Train","https://emojipedia.org/high-speed-train-with-bullet-nose/","🚅","Bullet Train","A high speed train, designed to cover long distances at high speed. Also features a streamlined bullet nose, often used in reference to the Shinkansen in Japan.

Bullet Train was approved as part of Unicode 6.0 in 2010
under the name “High-Speed Train With Bullet Nose”
and added to Emoji 1.0 in 2015.","🚅 Bullet Train
🚅 Shinkansen","High-Speed Train With Bullet Nose","High-Speed Train With Bullet Nose","U+1F685",":bullettrain_front:","🚄 High-Speed Train
🚈 Light Rail
🚇 Metro
🚝 Monorail
🚞 Mountain Railway
🐽 Pig Nose
🚃 Railway Car
🛤 Railway Track
🚉 Station
🚂 Locomotive
🚟 Suspension Railway
🚆 Train
🚊 Tram
🚋 Tram Car"
"1573610806-1028","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🧽 Sponge","https://emojipedia.org/sponge/","🧽","Sponge","A peanut-shaped sponge, as used for cleaning or bathing. Generally depicted in yellow and at different angles across platforms. Commonly used for various content concerning bathing, washing, and cleaning.

Sponge was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.","null","Sponge","null","U+1F9FD","null","🧽 on Instagram
🧽 on Twitter
🧽 on Wikipedia
🧽 on Yelp
🧽 on YouTube
🧽 on Google Trends
🧽 on Nomad List"
"1573612680-1882","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👩‍💻 Woman Technologist","https://emojipedia.org/female-technologist/","👩‍💻","Woman Technologist","A woman behind a computer screen, working in the field of technology.
See also: 👨‍💻 Male Technologist
The Woman Technologist emoji is a sequence of the 👩 Woman and 💻 Personal Computer emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Woman Technologist was added to Emoji 4.0 in 2016.","👩‍💻 Female Blogger","Woman Technologist","null","U+1F469","null","🥑 Avocado
🖥 Desktop Computer
⌨ Keyboard
👨‍💻 Man Technologist
💻 Laptop
🖨 Printer
🖱 Computer Mouse
👩‍💼 Woman Office Worker"
"1573612688-1886","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👩‍💼 Woman Office Worker","https://emojipedia.org/female-office-worker/","👩‍💼","Woman Office Worker","A woman wearing business attire. This may include items such as a shirt, blouse, tie, jacket, or headset.
The Woman Office Worker emoji is a sequence of the 👩 Woman and 💼 Briefcase emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Woman Office Worker was added to Emoji 4.0 in 2016.","👩‍💼 Businesswoman
👩‍💼 CEO","Woman Office Worker","null","U+1F469","null","📊 Bar Chart
✒ Black Nib
💼 Briefcase
📇 Card Index
📉 Chart Decreasing
📈 Chart Increasing
🗄 File Cabinet
🥿 Flat Shoe
👠 High-Heeled Shoe
📒 Ledger
🖋 Fountain Pen
👨‍💼 Man Office Worker
👔 Necktie
🏢 Office Building
🗑 Wastebasket
👩‍💻 Woman Technologist"
"1573610921-1082","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","📌 Pushpin","https://emojipedia.org/pushpin/","📌","Pushpin","A thumbtack (drawing pin), as used to pin documents on a bulletin (notice) board. Depicted at a 45° angle with its red, flat head to the upper right.
Often used as an icon for Pinterest or metaphorically pinning content online. Not to be confused with 📍 Round Pushpin, though their applications may overlap.

Pushpin was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","📌 Thumb Tack","Pushpin","null","U+1F4CC",":pushpin:","✂ Scissors
🗡 Dagger
🎯 Direct Hit
🔗 Link
🖇 Linked Paperclips
📄 Page Facing Up
📃 Page With Curl
📎 Paperclip
📍 Round Pushpin
🧷 Safety Pin
🧵 Thread
🗺 World Map"
"1573610778-1017","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣","Symbols","Heart emojis, clocks, arrows, signs and shapes.","💞 Revolving Hearts","https://emojipedia.org/revolving-hearts/","💞","Revolving Hearts","Hearts revolving around one or more other hearts. This emoji was originally animated on a number of Japanese devices.
Apple’s artwork for this emoji shows two hearts switching places, with a circular line simulating the action this would make. Google’s artwork previously displayed five hearts in a circle-like shape.

Revolving Hearts was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","💞 Two Hearts","Revolving Hearts","null","U+1F49E",":revolving_hearts:","💓 Beating Heart
💗 Growing Heart
❤ Red Heart
🧡 Orange Heart
😍 Smiling Face With Heart-Eyes
🥰 Smiling Face With Hearts
💕 Two Hearts
💛 Yellow Heart"
"1573611798-1488","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","🍔","Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🍘 Rice Cracker","https://emojipedia.org/rice-cracker/","🍘","Rice Cracker","A Japanese senbei, or rice cracker, wrapped with a sheet of nori, or seaweed, a snack commonly enjoyed with green tea.

Rice Cracker was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","🍘 Cracker","Rice Cracker","null","U+1F358",":rice_cracker:","🍌 Banana
🍱 Bento Box
🍞 Bread
🌰 Chestnut
🍚 Cooked Rice
🍪 Cookie
🍛 Curry Rice
🍡 Dango
🥟 Dumpling
🌾 Sheaf of Rice
🇯🇵 Flag: Japan
🍤 Fried Shrimp
🏮 Red Paper Lantern
🍢 Oden
🍿 Popcorn
🥨 Pretzel
🍙 Rice Ball
🍘 Rice Cracker
🍶 Sake
🍜 Steaming Bowl
🍣 Sushi
🍵 Teacup Without Handle
🍷 Wine Glass"
"1573610831-1040","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🚪 Door","https://emojipedia.org/door/","🚪","Door","A door, as to the entrance of a room, house, or new opportunity. (We’ll see ourselves out 🚪🚶.) Depicted in brown, as made of wood, with a gold handle.
May represent literal doors and related concepts (e.g., rooms, houses) but often used figuratively (e.g., opening or closing metaphorical doors).
Google’s design features a peephole and Microsoft’s a step, as if a front door.

Door was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","🚪 Doorway
🚪 Front Door","Door","null","U+1F6AA",":door:","🪑 Chair
🔐 Locked With Key
🏠 House
🏘 Houses
🏡 House With Garden
🔑 Key
🔒 Locked
🏢 Office Building
🗝 Old Key
🔓 Unlocked
🚶 Person Walking"
"1573611746-1464","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","🍔","Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🥧 Pie","https://emojipedia.org/pie/","🥧","Pie","A baked dish with a pastry crust, filled with sweet or savory ingredients. Appearance widely varies by platform. Apple depicts a whole pie in a tin, its crimped crust scored to let out steam. Google shows a slice of pumpkin pie as served at Thanksgiving, WhatsApp and Twitter a slice of cherry pie.

Pie was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017.","null","Pie","null","U+1F967","null","🥧 on Instagram
🥧 on Twitter
🥧 on Wikipedia
🥧 on Yelp
🥧 on YouTube
🥧 on Google Trends
🥧 on Nomad List"
"1573610816-1033","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🧷 Safety Pin","https://emojipedia.org/safety-pin/","🧷","Safety Pin","A silver safety pin or clip, as used to fasten fabric. Generally shown clasped at a 45° angle, with its spring at the lower left.
May be used for various content concerning arts, crafts, and sewing. Not to be confused with 📎 Paperclip.

Safety Pin was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.","null","Safety Pin","null","U+1F9F7","null","🧷 on Instagram
🧷 on Twitter
🧷 on Wikipedia
🧷 on Yelp
🧷 on YouTube
🧷 on Google Trends
🧷 on Nomad List"
"1573612734-1908","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🤦‍♂️ Man Facepalming","https://emojipedia.org/man-facepalming/","🤦‍♂️","Man Facepalming","The Man Facepalming emoji is a sequence of the 🤦 Face Palm and ♂ Male Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Facepalming was added to Emoji 4.0 in 2016.","null","Man Face Palm","null","U+1F926","null","🤦 Person Facepalming
🐸 Frog
😯 Hushed Face
🐭 Mouse Face
🌴 Palm Tree
🤲 Palms Up Together
🍐 Pear
🌞 Sun With Face"
"1573611085-1159","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🖱 Computer Mouse","https://emojipedia.org/three-button-mouse/","🖱️","Computer Mouse","A mouse, as used to control a cursor on a computer. Generally depicted as a white or gray, cordless device with a scroll wheel between left- and right-click buttons.
Used for various content concerning computers, including gaming and various senses of click (e.g., clickbait).
Apple’s design resembles the company’s Magic Mouse, with a single button. Google’s mouse has a cord.
Not to be confused with 🐁 Mouse.

Computer Mouse was approved as part of Unicode 7.0 in 2014
under the name “Three Button Mouse”
 and added to Emoji 1.0 in 2015.","null","Computer Mouse","Three Button Mouse","U+1F5B1","null","🖱️ on Instagram
🖱️ on Twitter
🖱️ on Wikipedia
🖱️ on Yelp
🖱️ on YouTube
🖱️ on Google Trends
🖱️ on Nomad List"
"1573611825-1500","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","🍔","Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🌮 Taco","https://emojipedia.org/taco/","🌮","Taco","A Mexican or Tex-Mex taco on a hard or soft corn tortilla, filled with such ingredients as beef, lettuce, tomato, cheese, and onion. Apple’s design resembles a carne asada taco, with cilantro and white onion.

Taco was approved as part of Unicode 8.0 in 2015
and added to Emoji 1.0 in 2015.","null","Taco","null","U+1F32E","null","🌮 on Instagram
🌮 on Twitter
🌮 on Wikipedia
🌮 on Yelp
🌮 on YouTube
🌮 on Google Trends
🌮 on Nomad List"
"1573611983-1562","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻","Animals & Nature","Emojis for animals, nature, and weather.","🌫 Fog","https://emojipedia.org/fog/","🌫️","Fog","Fog, as obscures visibility. Generally depicted as a square of a gray, hazy, cloud-like mass.
May be used as a weather icon to represent foggy conditions. May also be used to represent metaphorical fog (e.g., a daze).
Not to be confused with 🌁 Foggy, though their applications may overlap.
Microsoft’s design is a stylized depiction of fog, featuring three, wavy lines, as Google’s previously did. Samsung’s fog previously resembled three clouds. Twitter’s design previously resembled its 🌁 Foggy emoji, showing fog obscuring the Golden Gate Bridge.

Fog was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015.","null","Fog","null","U+1F32B","null","🌫️ on Instagram
🌫️ on Twitter
🌫️ on Wikipedia
🌫️ on Yelp
🌫️ on YouTube
🌫️ on Google Trends
🌫️ on Nomad List"
"1573611944-1545","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","🍔","Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🍇 Grapes","https://emojipedia.org/grapes/","🍇","Grapes","A grape bunch, as cut from the vine and used to make wine. Depicted as red (purple-colored) grapes.

Grapes was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","🍇 Grape","Grapes","null","U+1F347",":grapes:","🍆 Eggplant
🍌 Banana
🧀 Cheese Wedge
🍒 Cherries
🍋 Lemon
🥜 Peanuts
🍐 Pear
🍎 Red Apple
🍠 Roasted Sweet Potato
🍊 Tangerine
🍷 Wine Glass"
"1573610554-910","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣","Symbols","Heart emojis, clocks, arrows, signs and shapes.","🔝 Top Arrow","https://emojipedia.org/top-with-upwards-arrow-above/","🔝","Top Arrow","The word ""top"" with an arrow pointing up above it.

Top Arrow was approved as part of Unicode 6.0 in 2010
under the name “Top With Upwards Arrow Above”
and added to Emoji 1.0 in 2015.","🔝 Top","Top Arrow","Top With Upwards Arrow Above","U+1F51D",":top:","🔙 Back Arrow
🔚 End Arrow
🔛 On! Arrow
🔜 Soon Arrow
🆙 Up! Button
🎩 Top Hat
↕ Up-Down Arrow
⬆ Up Arrow"
"1573612399-1751","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🧣 Scarf","https://emojipedia.org/scarf/","🧣","Scarf","Scarf was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017.","null","Scarf","null","U+1F9E3","null","🧣 on Instagram
🧣 on Twitter
🧣 on Wikipedia
🧣 on Yelp
🧣 on YouTube
🧣 on Google Trends
🧣 on Nomad List"
"1573611091-1162","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🖥 Desktop Computer","https://emojipedia.org/desktop-computer/","🖥️","Desktop Computer","A desktop personal computer. Generally depicted as a black or gray monitor with a dark or blue screen.
Like 💻 Laptop Computer, used for various content concerning computer technology, work, and activity. May also be used to represent television, as it resembles a flatscreen TV.
Google and WhatsApp include keyboards. Apple’s design resembles an iMac. Microsoft and Samsung’s designs previously featured PC towers.

Desktop Computer was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015.","🖥️ iMac","Desktop Computer","null","U+1F5A5","null","🖥️ on Instagram
🖥️ on Twitter
🖥️ on Wikipedia
🖥️ on Yelp
🖥️ on YouTube
🖥️ on Google Trends
🖥️ on Nomad List"
"1573612393-1748","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🧦 Socks","https://emojipedia.org/socks/","🧦","Socks","Socks was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017.","null","Socks","null","U+1F9E6","null","🧦 on Instagram
🧦 on Twitter
🧦 on Wikipedia
🧦 on Yelp
🧦 on YouTube
🧦 on Google Trends
🧦 on Nomad List"
"1573612520-1808","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🏃‍♂️ Man Running","https://emojipedia.org/man-running/","🏃‍♂️","Man Running","The male version of the 🏃 Runner emoji. Currently identical in appearance to the non-gendered base emoji.
The Man Running emoji is a sequence of the 🏃 Runner and ♂ Male Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Running was added to Emoji 4.0 in 2016.","null","Man Runner","null","U+1F3C3","null","👟 Running Shoe
👨 Man
👴 Old Man
🏃 Person Running
🎽 Running Shirt
🏄 Person Surfing
⛀ White Draughts Man
🏃‍♀️ Woman Running"
